id_station;ligne;type
1648;2 (Porte Dauphine (Mar‚chal de Lattre de Ta/Nation);metro
1978;2 (Porte Dauphine (Mar‚chal de Lattre de Ta/Nation);metro
1868;2 (Porte Dauphine (Mar‚chal de Lattre de Ta/Nation);metro
1893;2 (Porte Dauphine (Mar‚chal de Lattre de Ta/Nation);metro
1995;2 (Porte Dauphine (Mar‚chal de Lattre de Ta/Nation);metro
1953;2 (Porte Dauphine (Mar‚chal de Lattre de Ta/Nation);metro
1852;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1988;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1708;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1928;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1779;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1722;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1740;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1744;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1693;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1658;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1826;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1915;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1634;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1807;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1676;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1654;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1689;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1721;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1929;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1982;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1679;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1741;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1771;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1702;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1930;3 (Pont de Levallois - B‚con/Gallieni (Parc de Bagnolet));metro
1684;3B (Gambetta/Porte des Lilas);metro
1736;3B (Gambetta/Porte des Lilas);metro
1929;3B (Gambetta/Porte des Lilas);metro
1782;3B (Gambetta/Porte des Lilas);metro
1676;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1628;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1969;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1726;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1828;4 (Mairie de Montrouge/Porte de Clignancourt);metro
